,team,x,y,fgmade
69,Team A,4.0,10.1,1
70,Team A,17.4,17.6,1
71,Team A,-8.1,18.1,0
72,Team A,17.5,19.3,0
73,Team A,-13.5,11.9,0
74,Team A,1.2,26.4,0
75,Team A,13.5,5.4,0
76,Team A,-18.5,21.4,0
77,Team A,16.9,18.8,1
78,Team A,-7.9,24.3,1
79,Team A,14.2,23.1,0
80,Team A,21.7,16.0,1
81,Team A,-10.8,22.9,0
82,Team A,3.0,1.0,0
83,Team A,-0.9,26.2,1
84,Team A,-1.0,2.0,0
85,Team A,22.8,10.3,0
86,Team A,16.4,21.0,1
87,Team A,0.2,-0.1,1
88,Team A,20.1,15.9,0
89,Team A,23.0,8.1,1
90,Team A,2.1,0.5,0
91,Team A,9.9,23.4,1
92,Team A,22.8,3.6,1
93,Team A,-11.8,20.9,0
94,Team A,20.1,14.6,0
95,Team A,-1.2,17.8,0
96,Team A,-22.9,2.4,0
97,Team A,0.3,2.9,0
98,Team A,-3.9,21.3,1
99,Team A,2.3,2.3,0
100,Team A,4.9,13.0,0
101,Team A,2.0,1.5,0
102,Team A,2.6,7.5,0
103,Team A,0.0,-0.5,0
104,Team A,13.6,21.9,0
105,Team A,15.0,24.8,0
106,Team A,1.8,1.6,0
107,Team A,2.5,2.1,1
108,Team A,-15.4,19.7,0
109,Team A,1.4,1.6,1
110,Team A,-13.6,24.1,1
111,Team A,4.1,25.6,0
112,Team A,17.2,18.2,0
113,Team A,-7.4,6.1,1
114,Team A,2.5,1.6,0
115,Team A,-10.0,15.1,0
116,Team A,0.6,3.5,0
117,Team A,5.0,4.6,0
118,Team A,1.6,1.5,0
119,Team A,0.9,5.2,0
120,Team A,2.0,1.9,1
121,Team A,-0.3,2.5,1
122,Team A,-19.5,5.7,0
123,Team A,-11.3,13.9,0
124,Team A,3.0,1.9,0
125,Team A,2.4,1.2,1
126,Team A,3.7,1.4,0
127,Team A,-1.8,0.5,1
128,Team A,1.5,3.2,0
129,Team A,1.4,2.6,0
130,Team A,-9.2,24.7,0
131,Team A,-10.5,24.5,0
132,Team A,-16.6,9.6,1
133,Team A,0.2,1.7,0
134,Team A,-15.8,21.5,0
135,Team A,-9.4,25.7,0
136,Team A,-0.5,1.5,1
137,Team A,11.3,24.3,0
138,Team A,16.1,3.7,1
139,Team A,-13.2,2.0,1
140,Team A,7.0,0.8,0
141,Team A,-3.5,26.1,1
142,Team A,0.0,-0.5,1
143,Team A,4.8,26.3,0
144,Team A,8.4,13.3,0
145,Team A,-2.2,0.9,1
146,Team A,7.2,5.2,0
147,Team A,4.0,25.6,0
148,Team A,-15.8,8.9,1
149,Team A,7.4,18.9,1
150,Team A,-11.2,15.2,0
151,Team A,23.2,9.9,1
152,Team A,-1.8,3.2,0
153,Team A,-4.0,9.4,1
154,Team A,11.1,22.7,1
155,Team A,16.5,6.2,0
156,Team A,17.1,18.7,0
157,Team A,1.4,0.8,1
158,Team A,-3.3,24.7,1
159,Team A,2.5,-0.6,1
160,Team A,-0.9,0.4,1
161,Team A,-3.9,7.9,0
162,Team A,2.1,0.5,0
163,Team A,9.1,24.2,1
164,Team A,-1.9,0.8,1
165,Team A,12.5,24.4,0
166,Team A,12.8,5.1,0
167,Team A,10.4,4.4,0
168,Team A,-3.6,1.5,0
169,Team A,-3.4,27.7,0
170,Team A,-0.2,1.4,1
171,Team A,22.6,4.0,0
172,Team A,3.3,2.6,0
173,Team A,-5.6,4.1,0
174,Team A,-4.2,10.9,0
175,Team A,-0.8,8.9,1
176,Team A,7.4,5.0,0
177,Team A,-1.6,2.4,1
178,Team A,2.5,1.5,1
179,Team A,-8.1,7.6,1
180,Team A,7.1,10.6,0
181,Team A,1.8,2.4,0
182,Team A,-0.3,2.9,1
183,Team A,0.0,-0.5,1
184,Team A,-2.3,3.5,0
185,Team A,23.0,2.2,0
186,Team A,3.6,3.9,0
187,Team A,19.1,17.3,1
188,Team A,-10.1,0.9,0
189,Team A,-19.4,5.2,0
190,Team A,3.0,18.2,0
191,Team A,5.5,25.6,0
192,Team A,11.4,23.6,0
193,Team A,19.1,12.7,0
194,Team A,4.7,4.6,0
195,Team A,23.0,12.4,0
196,Team A,5.5,20.7,0
197,Team A,9.6,23.5,0
198,Team A,-10.8,23.4,0
199,Team A,9.6,23.5,0
200,Team A,14.0,20.6,1
201,Team A,0.0,-0.5,1
202,Team A,-2.7,25.9,1
203,Team A,1.0,1.5,0
204,Team A,2.2,26.6,1
205,Team A,-23.4,0.9,1
206,Team A,2.5,25.5,1
207,Team A,6.1,15.1,0
208,Team A,-12.3,22.6,0
209,Team A,-9.8,1.9,0
210,Team A,2.7,1.8,0
211,Team A,1.3,14.0,0
212,Team A,0.9,1.2,0
213,Team A,3.0,8.6,0
214,Team A,-0.2,4.7,0
215,Team A,17.6,12.4,0
216,Team A,-1.9,15.0,0
217,Team A,-17.7,1.0,0
218,Team A,-0.1,16.1,1
219,Team A,21.4,14.1,0
220,Team A,17.8,17.9,1
221,Team A,-0.4,3.9,0
222,Team A,4.0,24.9,1
223,Team A,22.9,6.1,1
224,Team A,7.3,19.2,1
225,Team A,2.6,25.2,0
226,Team A,0.6,27.0,0
227,Team A,-9.3,19.4,0
228,Team A,-9.1,23.9,0
229,Team A,-23.4,4.2,0
230,Team A,23.7,3.8,1
231,Team A,-15.1,15.0,0
232,Team A,-22.8,3.1,1
233,Team A,-23.0,7.6,0
234,Team A,-12.7,25.0,1
235,Team A,22.8,-0.9,0
236,Team A,-15.6,20.2,0
237,Team A,0.9,0.3,1
238,Team A,13.6,22.5,1
239,Team A,-23.5,3.7,0
240,Team A,-9.5,25.8,1
241,Team A,-9.2,25.2,0
242,Team A,23.4,1.8,1
243,Team A,-6.0,8.0,1
244,Team A,6.5,14.0,1
245,Team A,-2.2,26.1,0
246,Team A,-0.6,1.9,0
247,Team A,-4.9,6.9,1
248,Team A,0.2,0.3,1
249,Team A,-0.3,20.7,0
250,Team A,0.0,6.8,1
251,Team A,-4.5,19.5,1
252,Team A,2.9,20.6,0
253,Team A,-0.3,1.0,1
254,Team A,6.5,13.3,0
255,Team A,-0.6,26.1,1
256,Team A,7.9,24.5,0
257,Team A,-23.6,4.8,0
258,Team A,-3.0,1.3,0
259,Team A,18.2,20.9,0
260,Team A,10.7,21.9,0
261,Team A,4.1,14.1,0
262,Team A,-12.3,16.6,1
263,Team A,-11.3,26.1,0
264,Team A,-5.4,7.3,0
265,Team A,-10.3,6.8,1
266,Team A,13.9,22.5,0
267,Team A,2.1,1.6,0
268,Team A,15.2,21.8,0
269,Team A,-9.5,14.3,0
270,Team A,-0.9,1.2,1
271,Team A,1.6,13.9,0
272,Team A,-23.3,1.7,0
273,Team A,4.0,26.5,1
274,Team A,-13.3,20.7,0
275,Team A,23.0,4.7,1
276,Team A,-3.0,25.4,0
277,Team A,-8.0,2.6,1
278,Team A,-7.6,1.7,0
279,Team A,-5.5,6.2,1
